neris_id_incident,neris_id_entity,incident_type,status,call_create,dispatch_time,arrival_time,cleared_time,latitude,longitude,address,civilian_injuries,civilian_fatalities,firefighter_injuries,firefighter_fatalities,primary_action,area_of_origin,fire_cause,construction_type,aid_type
INC-2023-0001,VA-FDID-042,EMS,Closed,2024-05-11T15:46:46,2024-05-11T15:47:52,2024-05-11T15:56:33,2024-05-11T16:49:59,37.294963,-77.411412,9035 Oak Ave Chesterfield VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0002,VA-FDID-042,Electrical,Closed,2024-01-28T12:30:19,2024-01-28T12:31:25,2024-01-28T12:44:59,2024-01-28T13:32:07,37.442806,-77.42547,6973 Cedar Ln Bon Air VA,0,0,1,0,Extinguishment,Engine Area,Smoking,,None
INC-2023-0003,VA-FDID-042,EMS,Closed,2023-08-04T19:53:50,2023-08-04T19:55:45,2023-08-04T20:05:29,2023-08-04T20:39:26,37.255824,-77.667313,5735 River Rd Midlothian VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0004,VA-FDID-042,False Alarm,Closed,2024-12-17T08:49:54,2024-12-17T08:51:14,2024-12-17T09:04:39,2024-12-17T10:04:40,37.476821,-77.458592,6025 River Rd Chester VA,0,0,0,0,Investigated,,,,None
INC-2023-0005,VA-FDID-042,Structure Fire,Closed,2023-08-13T18:34:57,2023-08-13T18:39:35,2023-08-13T18:47:33,2023-08-13T19:21:20,37.342038,-77.524636,6077 Elm St Midlothian VA,0,0,0,0,Extinguishment,Bedroom,Arson,Open Land,None
INC-2023-0006,VA-FDID-042,EMS,Closed,2024-07-20T07:54:31,2024-07-20T07:56:12,2024-07-20T08:08:05,2024-07-20T09:19:53,37.308984,-77.335844,9225 Cedar Ln Ettrick VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0007,VA-FDID-042,Structure Fire,Closed,2024-09-30T07:30:38,2024-09-30T07:35:04,2024-09-30T07:44:27,2024-09-30T08:59:13,37.308322,-77.621607,9392 Hill St Ettrick VA,0,0,0,0,Extinguishment,Roof,Arson,Non-Combustible,None
INC-2023-0008,VA-FDID-042,EMS,Closed,2023-04-19T10:53:52,2023-04-19T10:58:02,2023-04-19T11:11:36,2023-04-19T12:45:11,37.306822,-77.472166,9660 Washington Blvd Midlothian VA,0,0,0,0,Medical Aid,,,,None
INC-2023-0009,VA-FDID-042,Structure Fire,Closed,2023-03-12T14:40:27,2023-03-12T14:45:07,2023-03-12T14:50:59,2023-03-12T15:31:51,37.416234,-77.389168,7016 River Rd Richmond VA,0,0,0,0,Extinguishment,Basement,,Wood Frame,None
INC-2023-0010,VA-FDID-042,EMS,Closed,2024-06-12T09:24:06,2024-06-12T09:28:00,2024-06-12T09:41:09,2024-06-12T10:37:34,37.45858,-77.56993,4908 Washington Blvd Chester VA,0,0,0,0,Medical Aid,,,,None
